09/20/19,Project Feasibility Seminar
09/20/19,Advanced Microcomputer System Design
09/20/19,Physical Design of Electronic Equipmen
09/20/19,Elective - 4
09/20/19,Elective - 5
09/20/19,Elective - 6
09/20/19,Practical-Advanced Microcomputer System Design G1
09/20/19,Practical-Physical Design of Electronic Equipmen G1
09/20/19,Practical-Elective - 4 G1
09/20/19,Practical-Elective - 5 G1
09/20/19,Practical-Elective - 6 G1
09/20/19,Practical-Advanced Microcomputer System Design G2
09/20/19,Practical-Physical Design of Electronic Equipmen G2
09/20/19,Practical-Elective - 4 G2
09/20/19,Practical-Elective - 5 G2
09/20/19,Practical-Elective - 6 G2
